,p,P,y,Y,f,F,g,G,c,C,r,R,l,L,a,A,o,O,e,E,u,U,i,I,d,D,h,H,t,T,n,N,s,S,q,Q,j,J,k,K,x,X,b,B,m,M,w,W,v,V,z,Z,$,&,[,{,},(,=,*,),+,],!,#,~,%,7,5,3,1,9,0,2,4,6,8,`,;,",",.,/,@,\,:,<,>,?,^,|,-,',_,"""",	,"
", 
r,511996.0,318732.0,2224901.0,10121.0,561099.0,212573.0,2104468.0,67761.0,1724309.0,455949.0,3277703.0,204109.0,491080.0,165175.0,8948376.0,237099.0,7294414.0,188732.0,20462160.0,190575.0,2274370.0,83073.0,9249280.0,367050.0,1383114.0,255092.0,127512.0,89900.0,3995243.0,480357.0,4917470.0,161571.0,3271212.0,486520.0,26387.0,15184.0,5315.0,13139.0,747016.0,50168.0,37463.0,18668.0,175786.0,180847.0,1823814.0,246990.0,172612.0,88455.0,929870.0,132752.0,8228.0,6629.0,1178.0,114655.0,180785.0,19863.0,16119.0,2766560.0,65795.0,392334.0,1314790.0,36289.0,48963.0,14362.0,1065.0,155.0,1476.0,5030.0,10387.0,108305.0,122190.0,5091.0,46870.0,132007.0,31340.0,14019.0,9624.0,7564.0,561319.0,1051862.0,1269273.0,179553.0,2854.0,46151.0,1158243.0,1011784.0,301454.0,4137.0,1644.0,6745.0,692756.0,31354.0,2361146.0,218049.0,9604.0,316417.0,6472529.0
R,29223.0,241057.0,1843.0,146175.0,2374.0,72747.0,6549.0,206787.0,11963.0,192018.0,3845.0,566014.0,4393.0,137225.0,476729.0,705389.0,394863.0,843013.0,4169352.0,1521648.0,284389.0,325981.0,100427.0,683975.0,9437.0,183591.0,5822.0,46500.0,40345.0,870272.0,10533.0,233595.0,22942.0,316249.0,667.0,9187.0,520.0,2276.0,1076.0,63583.0,6507.0,9420.0,2736.0,63275.0,5772.0,221134.0,2388.0,44238.0,3717.0,80714.0,1292.0,1971.0,129.0,1164.0,7876.0,708.0,4015.0,207305.0,1827.0,9231.0,131358.0,1139.0,17347.0,494.0,268.0,47.0,392.0,2400.0,4969.0,21030.0,53710.0,3434.0,13866.0,30714.0,8572.0,6862.0,13688.0,249.0,59030.0,132959.0,22005.0,14033.0,106.0,1246.0,72407.0,2145.0,10118.0,166.0,564.0,1386.0,13694.0,3734.0,776663.0,49652.0,1676.0,58680.0,508041.0
l,872126.0,167554.0,1234852.0,5810.0,280086.0,128536.0,138689.0,58514.0,181583.0,266084.0,135780.0,179819.0,5290974.0,82211.0,5172734.0,160596.0,6467919.0,121058.0,11952613.0,131459.0,5125505.0,46385.0,6066930.0,173585.0,2114494.0,167451.0,90341.0,53469.0,2567980.0,285384.0,46069.0,108353.0,3165770.0,282642.0,6595.0,9763.0,3629.0,7270.0,124278.0,25390.0,18989.0,8563.0,378024.0,136775.0,97838.0,118050.0,76636.0,56032.0,438454.0,147145.0,9667.0,4292.0,313.0,20833.0,56407.0,11164.0,7022.0,865635.0,17923.0,73602.0,452105.0,11861.0,28766.0,2890.0,1733.0,34.0,545.0,1827.0,3248.0,23198.0,47018.0,1049.0,10898.0,242996.0,6774.0,4144.0,6533.0,3300.0,339685.0,403113.0,443529.0,135413.0,1142.0,16124.0,699751.0,114153.0,123204.0,3113.0,283.0,1502.0,252010.0,14345.0,1478753.0,131255.0,8245.0,172016.0,3169745.0
L,3163.0,90986.0,2263.0,72675.0,8010.0,81067.0,1604.0,32909.0,17180.0,92408.0,2437.0,55059.0,2468.0,1039388.0,656351.0,485804.0,1373672.0,802088.0,551234.0,933898.0,49508.0,234298.0,1407814.0,859754.0,14919.0,196023.0,3521.0,42483.0,9160.0,254684.0,5090.0,23305.0,27457.0,278747.0,523.0,4921.0,4877.0,2303.0,799.0,27672.0,2437.0,6261.0,8027.0,42331.0,2713.0,41948.0,1804.0,23267.0,7571.0,130774.0,1053.0,5031.0,260.0,5368.0,5739.0,391.0,5434.0,271124.0,1704.0,4379.0,299530.0,2490.0,6441.0,492.0,209.0,2.0,385.0,1838.0,4022.0,17679.0,34886.0,925.0,17378.0,89711.0,7683.0,3461.0,2630.0,203.0,187163.0,259514.0,30560.0,10815.0,71.0,1763.0,57963.0,1524.0,6399.0,289.0,166.0,1812.0,12551.0,10492.0,844017.0,73292.0,2440.0,36462.0,351017.0
a,3161673.0,74277.0,2158628.0,3288.0,378370.0,44436.0,3385120.0,21262.0,6047987.0,69930.0,10184074.0,54373.0,12531099.0,45888.0,200995.0,44107.0,47172.0,41794.0,80882.0,39279.0,1944290.0,13602.0,2672812.0,49121.0,4671772.0,66068.0,28853.0,14437.0,17567499.0,125557.0,8969875.0,36411.0,8000776.0,127916.0,30601.0,3288.0,60681.0,2017.0,1297850.0,7640.0,809195.0,4511.0,2658108.0,39467.0,6623582.0,50925.0,444620.0,13794.0,914980.0,25258.0,79735.0,2749.0,404.0,14642.0,136448.0,4044.0,4643.0,353681.0,10388.0,27621.0,283038.0,7940.0,10477.0,1303.0,339.0,46.0,657.0,28846.0,32947.0,55025.0,87617.0,29696.0,78003.0,73180.0,55106.0,33781.0,33547.0,964.0,101396.0,413508.0,357944.0,80702.0,995.0,12625.0,162390.0,39627.0,33607.0,801.0,902.0,1226.0,144965.0,17083.0,622541.0,78309.0,1827.0,82253.0,1752553.0
A,317453.0,309478.0,943.0,147962.0,78506.0,84375.0,57918.0,392905.0,685854.0,596006.0,1024367.0,1022376.0,615605.0,1185448.0,4088.0,170972.0,2407.0,15849.0,4786.0,63726.0,223281.0,151814.0,13669.0,243311.0,895450.0,450325.0,4383.0,8557.0,537914.0,1109889.0,461371.0,793233.0,505534.0,1076009.0,5302.0,6011.0,786.0,16372.0,2435.0,46176.0,41623.0,169970.0,108430.0,329101.0,125881.0,464404.0,34363.0,36168.0,66492.0,96030.0,8485.0,28318.0,143.0,1295.0,16002.0,361.0,1294.0,46614.0,1825.0,5269.0,40831.0,1839.0,5322.0,153.0,611.0,9.0,405.0,37803.0,46313.0,52599.0,77496.0,40265.0,56245.0,70707.0,45830.0,34167.0,50401.0,101.0,15833.0,96705.0,25858.0,4258.0,303.0,2445.0,27632.0,1978.0,8956.0,161.0,323.0,336.0,17888.0,14845.0,203838.0,15600.0,513.0,15931.0,249462.0
o,3662900.0,94886.0,125367.0,3322.0,2570778.0,86342.0,1220888.0,29633.0,4342530.0,135759.0,13969300.0,85350.0,4810077.0,69625.0,1522912.0,88265.0,3057834.0,60352.0,260044.0,59069.0,6219274.0,46367.0,3315250.0,98519.0,4839470.0,105342.0,32840.0,32968.0,3080633.0,90853.0,20254229.0,43315.0,2681960.0,312537.0,1369.0,9153.0,152260.0,16496.0,777389.0,16516.0,428661.0,5152.0,1359786.0,99508.0,4005871.0,73443.0,2706038.0,37672.0,1295110.0,36125.0,18840.0,5640.0,845.0,132977.0,34588.0,4825.0,1904.0,290800.0,7132.0,70231.0,169158.0,3210.0,10386.0,1668.0,539.0,11.0,292.0,1271.0,1622.0,8101.0,18621.0,622.0,7676.0,18044.0,2548.0,1672.0,2095.0,1271.0,63331.0,181774.0,364575.0,45562.0,1410.0,8045.0,250663.0,30966.0,32848.0,1426.0,282.0,3913.0,169420.0,6981.0,678140.0,75681.0,1905.0,103759.0,3642278.0
O,1337958.0,463118.0,243.0,12629.0,453220.0,339999.0,11749.0,294558.0,25062.0,354360.0,298253.0,1363750.0,43924.0,304994.0,1263.0,131010.0,3582.0,465533.0,1343.0,33219.0,416637.0,317341.0,4200.0,116097.0,11477.0,397311.0,1434.0,10167.0,47024.0,537314.0,399074.0,1391535.0,17444.0,585041.0,168.0,1066.0,258.0,11401.0,30243.0,206061.0,2052.0,27266.0,827732.0,153439.0,8140.0,426666.0,47303.0,239421.0,102801.0,103562.0,685.0,6084.0,65.0,2424.0,1447.0,63.0,778.0,70566.0,926.0,2923.0,37244.0,362.0,2080.0,390.0,72.0,5.0,291.0,324.0,791.0,4991.0,6580.0,896.0,2932.0,4477.0,725.0,610.0,1412.0,99.0,11999.0,53378.0,24980.0,3655.0,71.0,658.0,58519.0,447.0,2607.0,303.0,84.0,318.0,9476.0,2630.0,332190.0,7453.0,239.0,15296.0,103218.0
e,1847891.0,662988.0,1319055.0,16488.0,3247592.0,524654.0,2108570.0,195194.0,8438668.0,885231.0,22194320.0,529067.0,6020939.0,414123.0,5971181.0,523724.0,750024.0,413842.0,1957812.0,424560.0,295520.0,183833.0,1098060.0,872688.0,8540736.0,542748.0,125171.0,211598.0,16812904.0,845844.0,13736172.0,369548.0,13590745.0,1019723.0,1228458.0,39949.0,34340.0,25958.0,74478.0,84192.0,5398557.0,31123.0,561893.0,419871.0,4551434.0,543326.0,1741660.0,210932.0,1763721.0,285842.0,39622.0,17798.0,5655.0,164177.0,245855.0,47257.0,50294.0,5467491.0,92596.0,354606.0,2733046.0,40337.0,84641.0,16608.0,4628.0,45.0,2739.0,38354.0,43603.0,93474.0,156002.0,32943.0,79794.0,164091.0,47136.0,54206.0,38581.0,13369.0,2024503.0,2477296.0,2074757.0,340362.0,4997.0,69552.0,1979181.0,462855.0,501592.0,12230.0,2029.0,8749.0,946216.0,109632.0,5187177.0,608738.0,22427.0,1271441.0,19686752.0
E,19412.0,190087.0,7382.0,101407.0,46418.0,309344.0,4550.0,214332.0,22478.0,1533838.0,597243.0,2147305.0,329767.0,364885.0,33770.0,444483.0,3872.0,101406.0,1131.0,171247.0,8184.0,29747.0,51074.0,63913.0,178245.0,703195.0,3729.0,26285.0,21331.0,658347.0,1123677.0,943175.0,48326.0,1123197.0,91297.0,604640.0,680.0,13050.0,8789.0,16816.0,1166377.0,1071882.0,7076.0,179178.0,177285.0,298049.0,2009.0,47136.0,370850.0,208023.0,1337.0,4880.0,409.0,2348.0,4404.0,635.0,8864.0,625639.0,3298.0,19215.0,246424.0,2651.0,17494.0,932.0,1216.0,9.0,568.0,34582.0,35219.0,51686.0,60653.0,40067.0,51961.0,55668.0,43795.0,43684.0,40593.0,299.0,144345.0,237887.0,51183.0,5849.0,145.0,14809.0,119032.0,4512.0,14494.0,353.0,104.0,2986.0,63130.0,5731.0,1601054.0,34626.0,2748.0,100074.0,576774.0
